"filename", "language", "TypeScript", "SQL", "Prisma", "comment", "blank", "total"
"c:\Users\soura\OneDrive\Desktop\softEng\trustcar-back\prisma\migrations\20240319081711_\migration.sql", "SQL", 0, 121, 0, 31, 41, 193
"c:\Users\soura\OneDrive\Desktop\softEng\trustcar-back\prisma\migrations\20240323122545_update3\migration.sql", "SQL", 0, 1, 0, 1, 1, 3
"c:\Users\soura\OneDrive\Desktop\softEng\trustcar-back\prisma\migrations\20240323123117_update4\migration.sql", "SQL", 0, 3, 0, 8, 2, 13
"c:\Users\soura\OneDrive\Desktop\softEng\trustcar-back\prisma\migrations\20240323131701_update4\migration.sql", "SQL", 0, 4, 0, 11, 4, 19
"c:\Users\soura\OneDrive\Desktop\softEng\trustcar-back\prisma\migrations\20240323135526_update6\migration.sql", "SQL", 0, 2, 0, 8, 2, 12
"c:\Users\soura\OneDrive\Desktop\softEng\trustcar-back\prisma\migrations\20240417111143_add_fields_to_question_and_report_row_tables\migration.sql", "SQL", 0, 8, 0, 9, 3, 20
"c:\Users\soura\OneDrive\Desktop\softEng\trustcar-back\prisma\migrations\20240506170653_update7\migration.sql", "SQL", 0, 65, 0, 23, 21, 109
"c:\Users\soura\OneDrive\Desktop\softEng\trustcar-back\prisma\migrations\20240507191846_update8\migration.sql", "SQL", 0, 32, 0, 39, 18, 89
"c:\Users\soura\OneDrive\Desktop\softEng\trustcar-back\prisma\migrations\20240508195912_update9\migration.sql", "SQL", 0, 8, 0, 5, 5, 18
"c:\Users\soura\OneDrive\Desktop\softEng\trustcar-back\prisma\migrations\20240509071136_update10\migration.sql", "SQL", 0, 4, 0, 11, 2, 17
"c:\Users\soura\OneDrive\Desktop\softEng\trustcar-back\prisma\migrations\20240509110632_update11\migration.sql", "SQL", 0, 1, 0, 7, 1, 9
"c:\Users\soura\OneDrive\Desktop\softEng\trustcar-back\prisma\migrations\20240514071508_update12\migration.sql", "SQL", 0, 3, 0, 10, 3, 16
"c:\Users\soura\OneDrive\Desktop\softEng\trustcar-back\prisma\migrations\20240514170204_update13\migration.sql", "SQL", 0, 5, 0, 12, 3, 20
"c:\Users\soura\OneDrive\Desktop\softEng\trustcar-back\prisma\schema.prisma", "Prisma", 0, 0, 239, 0, 25, 264
"c:\Users\soura\OneDrive\Desktop\softEng\trustcar-back\prisma\seed.ts", "TypeScript", 131, 0, 0, 2, 17, 150
"c:\Users\soura\OneDrive\Desktop\softEng\trustcar-back\prisma\test-seed.ts", "TypeScript", 122, 0, 0, 2, 16, 140
"Total", "-", 253, 257, 239, 179, 164, 1092